Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InfMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsPer100
Gabon,GAB,1979786,12.634,7170,,27.03535244,44.12798113,1.447548913,149.6366779,4.834,3.786,64,34.3,66.105,47.39460459,0.79,2.768265721,2705.823332,24.20111882,5601.2,6071.8,-8.401771049,,,,,,
"Gambia, The",GMB,2038501,39.776,430,,41.91754236,22.96222664,,139.2261765,5.884,5.425,97,42.2,61.193,95.04387071,1.06,0.267684889,,,56,56,0,,,,,,
Georgia,GEO,3719300,46.174,3830,28.1,59.32535774,43.60424333,2.437635218,140.9459916,2.854,1.996,93,9.5,73.261,20.73469811,0.74,2.411541991,1177.870405,72.20953534,489.3,436,10.89311261,1.98,0.49,0.09,1,0.4,7.3
Germany,DEU,82348669,24.49,44020,,38.14802564,46.11924111,1.195846122,126.3143677,2.53,1.5,97,3.2,80.64146341,13.45779609,1.2,8.889370395,3779.461921,79.71052694,12574,19498,-55.06600923,1.01,0.07,0.84,0.01,0.08,30.3
Ghana,GHA,28206728,45.318,1390,,48.26291291,41.08036999,0.38237993,135.8012103,6.937,3.984,89,41.2,62.742,54.24258644,0.85,0.536533378,335.0505291,52.30493276,142700.7,126266.1,11.51683208,,,,,,
Gibraltar,GIB,34408,0,,,,,,119.5535922,,,,,,,,15.51348493,5759.004642,,500,724,-44.8,,,,,,
Greece,GRC,10775971,21.671,18870,,31.18113647,30.45873255,2.576474722,112.1177165,2.32,1.33,97,3.1,81.03658537,11.29831318,1.22,6.180337268,2123.897891,86.05811361,3590,2694,24.95821727,1.52,0.53,0.86,0.06,0,22.5
Greenland,GRL,56186,13.192,,,45.93775562,38.98096655,,,,2,,,,4.0711839,,8.989181988,,,18132,15796,12.88330024,,,,,,
Grenada,GRD,107317,64.384,9100,,52.36255155,56.10395338,,110.8612801,5.3,2.104,95,14.4,73.659,18.498453,1.04,2.275498308,,,16030,15144,5.527136619,,,,,,
Guam,GUM,162896,5.407,,,51.16519938,19.40272743,,,5.187,2.347,,,79.575,8.591184589,,,,,22208,22324,-0.522334294,,,,,,
Guatemala,GTM,16582469,47.97,3790,,27.4627762,19.54210214,0.423753092,110.1435498,6.724,2.973,86,23.9,73.409,28.5220862,0.65,1.150977994,830.0945159,37.37859696,145504,124584,14.37761161,34.1,29.62,0.34,1.33,2.81,13.1
Guinea,GIN,12395924,62.349,720,,81.5484287,29.42315528,1.862411575,87.12541316,6.168,4.855,54,58.3,60.015,46.14092124,0.9,0.207492621,,,0.8,0.8,0,,,,,,
Guinea-Bissau,GNB,1815698,49.906,640,,31.30411011,26.5081143,,70.81766902,5.982,4.633,81,57.8,57.403,59.16484482,,0.157241167,,,9639.2,10123.4,-5.023238443,,,,,,
Guyana,GUY,773303,71.339,4240,,54.483071,45.84443207,1.458081403,75.60542245,5.86,2.51,99,26.9,66.65,19.74407395,0.78,2.632347952,,,221030,222180,-0.520291363,,,,,,
Haiti,HTI,10847334,40.206,790,,52.62005104,20.72184401,0.000846301,59.95952554,6.109,2.919,53,50.9,63.33,23.54804717,0.62,0.270538586,392.8011686,22.01589404,750,1550,-106.6666667,,,,,,
Honduras,HND,9112867,44.685,2160,36.8,57.87694342,42.61093766,1.63222957,85.95321319,7.435,2.462,88,16,73.575,29.49751121,0.8,1.07522179,607.8646499,52.47931253,220000,228000,-3.636363636,67.18,66.64,0.41,0.13,,6.2
"Hong Kong SAR, China",HKG,7336600,0,42970,,184.708902,186.9989513,,240.7962077,4.152,1.205,,,84.22682927,,1.42,6.393600526,1970.484128,93.17288162,4496,4864,-8.185053381,0.03,0,0.03,0,0,
Hungary,HUN,9814023,28.328,12500,,79.45581237,89.53683366,1.024265168,120.7789256,1.89,1.45,99,4.4,75.56829268,24.57068163,1.2,4.265574976,2314.496434,67.99283847,27556.2,28224,-2.423411065,0.95,0.11,0.81,0.02,0.02,5.5
Iceland,ISL,335439,5.77,54970,,42.04192031,48.37753985,0,120.7953103,3.59,1.8,91,1.6,82.46829268,7.29839004,1.63,6.059657407,17916.12042,10.92848727,87398,93086,-6.508158081,1.25,0,1.25,,,30.3
India,IND,1324171354,66.864,1680,,21.03425691,19.31492239,2.494967862,85.1709257,5.794,2.326,88,34.6,68.56,75.80079116,0.81,1.730000432,637.4286299,73.46341619,0,0,,0.28,0.3,0.14,0.04,,4.2
Indonesia,IDN,261115456,45.534,3410,,18.31794265,19.12095185,0.790697076,147.6639506,5.599,2.363,76,22.2,69.191,16.74598218,0.61,1.819363319,883.910977,65.56434565,34198,40238,-17.66185157,,,,,,
"Iran, Islamic Rep.",IRN,80277428,26.121,5470,,20.81043185,22.40402821,2.87595257,100.3024773,6.77,1.661,99,13,75.953,48.95476643,0.216,8.283020787,3023.490439,98.98824418,2.2,2.2,0,,,,,,
Iraq,IRQ,37202572,30.408,5420,,40.89933394,32.52166099,3.481380365,81.18551588,7.188,4.37,66,25.9,69.862,73.25872705,0.7,4.811839686,1413.496256,97.27173257,169.9,169.9,0,,,,,,
Ireland,IRL,4755335,36.465,53910,,99.57566052,121.5823551,0.328667682,103.1537143,3.94,1.92,92,3,81.60731707,9.168633218,1.29,7.313939808,2741.574884,84.58480464,250,250,0,0.8,0.25,0.28,0.08,,3.89
Isle of Man,IMN,83737,47.719,,,,,,,,,,,,,,,,,45320,35764,21.08561342,,,,,,
Israel,ISR,8546000,7.795,36250,,28.17868489,30.26728937,4.654134045,129.0310295,3.802,3.11,97,2.9,82.40731707,18.6846113,,7.863181348,2762.505934,96.43468077,71200,64000,10.11235955,2.09,1.04,0.67,0.05,0.26,7.3
Italy,ITA,60627498,30.884,31700,,26.54950501,29.80153284,1.517296102,152.9988959,2.57,1.35,85,2.8,82.54390244,15.48360452,1.44,5.270866786,2414.484002,78.58642262,21776,19820,8.982365907,1.31,0.35,0.87,0.09,0.02,11.9
Jamaica,JAM,2881355,44.97,4630,,44.93465548,31.36650537,0.95620345,113.3960932,5.821,2.009,95,13.2,75.97,15.07163593,,2.59321537,981.3122382,80.97134481,166448,165360,0.653657599,30.72,30.38,0.34,,,8.1
Japan,JPN,126994511,6.072,38000,,15.14742988,16.11915257,0.939734417,130.6103289,1.58,1.44,96,2,83.98487805,13.15839601,0.88,9.538706103,3470.763129,94.68336459,1132,978,13.60424028,0.06,0,0.04,0.01,0.01,0.6
Jordan,JOR,9455802,16.095,3920,,56.17409545,35.14246806,4.577906942,103.835148,8.053,3.378,96,15.1,74.329,37.21426017,0.64,3.002514727,928.520476,97.60844665,74384,47120,36.65304367,,,,,,
Kazakhstan,KAZ,17794055,46.771,8800,,28.46770794,31.84388864,0.933551765,141.9567198,3.912,2.73,99,10.1,72.3,19.65590442,0.4,14.36316974,4434.639121,99.17390731,,,,,,,,,
Kenya,KEN,48461567,73.945,1380,,22.78015285,13.97121853,1.316646775,80.43938819,8.126,3.852,75,35.6,67.032,16.29493079,0.82,0.310415314,513.4264871,17.15498165,18474,20644,-11.74623796,,,,,,
Kiribati,KIR,114395,55.553,2800,,95.6093015,11.09641144,,45.45653219,6.329,3.651,80,42.4,66.317,4.08635963,,0.564368357,,,211.8,479,-126.1567517,,,,,,
"Korea, Dem. People’s Rep.",PRK,25368620,38.952,,,,,,14.21441135,4.157,1.91,99,15.1,71.685,36.01527573,0.73,1.613596841,474.2390847,81.40601072,91759,106919.8,-16.52241197,,,,,,
"Korea, Rep.",KOR,51245707,17.408,27690,,35.42863077,42.28420147,2.611357388,120.679705,4.941,1.172,98,2.9,82.02439024,28.68182353,1.05,11.57034541,5289.275832,82.3950038,8096,8250,-1.902173913,0.08,0.02,0.04,0.01,0.01,1.1
Kosovo,XKX,1816200,,3880,,50.90927061,23.28852869,0.773571852,,,2.06,,,71.64634146,,1.06,,1213.283566,86.121582,5329.8,7483.4,-40.40676948,,,,,,
Kuwait,KWT,4052584,1.642,34890,,46.42906174,48.23228856,5.814227645,133.0708012,7.417,1.97,93,7.2,74.694,110.9572166,0.31,25.22386443,8956.820315,99.99999705,34.6,34.6,0,0.36,0.36,0,0,0,24.8
Kyrgyz Republic,KGZ,6079500,64.15,1110,22.9,69.99816514,35.82540888,3.344017776,127.8352593,5.354,3.1,97,18.8,70.95121951,17.91030372,0.49,1.646395339,650.401508,69.3015104,1404,1628,-15.95441595,1.01,0.53,0.07,0.28,0.13,0.9
Lao PDR,LAO,6758353,60.346,2150,,41.88242475,33.20939676,,58.57211069,5.974,2.698,76,48.9,66.683,27.67258925,0.8,0.297200884,,,3431.2,3355.8,2.197481931,,,,,,
Latvia,LVA,1959537,32.639,14570,,59.14539247,60.04198813,1.475991547,134.4954403,1.76,1.7,93,3.9,74.52926829,14.58800713,1.07,3.498192882,2176.843306,56.71742757,975,975,0,1.43,0.18,0.94,0.04,0.27,19
Lebanon,LBN,6006668,12.086,7970,,47.11927492,25.49447521,5.25507783,81.41840951,5.403,1.719,79,6.9,79.584,32.5648296,0.47,4.295732552,1337.366032,97.62110111,33992,33090,2.653565545,,,,,,
Lesotho,LSO,2203821,72.16,1270,,83.1332961,42.24540313,1.812273155,103.5890392,5.801,3.094,90,72.4,54.174,26.91822469,0.73,1.150111032,,,42572,43764,-2.799962417,,,,,,
Liberia,LBR,4613823,49.9,370,,100.276059,21.4183722,0.695335554,67.55790155,6.552,4.581,80,51.2,62.505,17.33233534,0.83,0.212967664,,,121.5,121.5,0,,,,,,
Libya,LBY,6293253,21.246,5110,,,,,121.7187359,7.781,2.274,97,11,71.934,63.71676049,0.11,9.186845393,2880.14393,99.11129636,76938,51580,32.95900595,,,,,,
Liechtenstein,LIE,37666,85.717,,,,,,117.6073913,,1.4,,,82.65609756,,,1.185229079,,,,,,,,,,,
Lithuania,LTU,2868231,33.488,14790,,73.15867072,74.45144833,1.487522545,144.5781293,2.22,1.7,94,4.3,74.32195122,16.71785779,1.05,4.378090123,2387.275194,67.99374947,40.1,62.5,-55.86034913,,,,,,
Luxembourg,LUX,582014,9.568,71590,,186.1633283,221.2677755,0.444796124,132.6971743,2.34,1.47,99,2,82.29268293,16.09727607,1.03,17.36212137,6861.106667,83.14516459,8451.6,6450,23.68308959,1.19,0,1.16,0.22,0.39,15.3
"Macao SAR, China",MAC,612167,0,65130,,34.51534098,76.07221233,,321.8030374,3.283,1.311,,,83.849,,,2.17984276,,,171973.4,185722.4,-7.994841063,,,,,,
"Macedonia, FYR",MKD,2081206,42.796,4990,,64.71035147,49.97269908,0.944628399,98.52431715,3.502,1.533,82,10.7,75.703,31.92141254,0.88,3.614938183,1262.556589,79.28157364,32002,33556,-4.855946503,1.69,0.91,0.63,0.15,0,
Madagascar,MDG,24894551,64.259,400,,35.75931716,33.49671987,0.594003322,32.12852885,7.307,4.184,58,34,65.932,21.47496474,0.93,0.130421321,,,1310,1372.2,-4.748091603,,,,,,
Malawi,MWI,18091575,83.546,320,,44.94079647,32.96691831,0.643381292,39.67804904,7.137,4.571,81,38.9,63.223,28.25982321,1.14,0.07476291,,,408,480,-17.64705882,,,,,,
Malaysia,MYS,31187265,24.63,9860,,60.97746561,67.66721946,1.406366859,140.8029848,5.728,2.037,96,7.1,75.3,17.60771452,0.44,8.032991579,2967.541304,96.6281989,48090,42090,12.47660636,,,,,,
Maldives,MDV,427756,53.46,8740,,75.73735367,74.53753914,,189.8577694,7.218,2.093,99,7.3,77.339,26.86188561,,3.26955985,,,2170,2170,0,,,,,,
Mali,MLI,17994837,59.317,780,,39.4963493,22.91376786,2.582730464,112.3527654,7.07,6.057,75,68,57.966,92.21011675,0.98,0.083228663,,,66.6,69,-3.603603604,,,,,,
Malta,MLT,455356,4.471,23840,,125.4110143,136.1091206,0.529179735,123.9364452,2.33,1.45,93,5.9,81.79756098,12.14084395,1.22,5.400613957,1781.504425,97.78846166,19750,21780,-10.27848101,,,,,,
Marshall Islands,MHL,53066,27.06,4630,,83.91345099,27.54101715,,,,,75,29.1,,11.08607034,,1.941018564,,,870,867,0.344827586,,,,,,
Mauritania,MRT,4301018,39.554,1130,,63.3779475,37.15047167,2.903682379,84.03061787,6.798,4.674,70,54.4,63.238,123.6345844,1.09,0.666822428,,,,,,,,,,,
Mauritius,MUS,1263473,60.452,9780,,53.84610077,44.58385565,0.187710602,143.725062,5.187,1.4,92,12.2,74.39487805,14.46305346,0.85,3.353110472,1111.422168,84.5423603,9304,9980,-7.265692175,,,,,,
Mexico,MEX,127540423,20.483,9010,34.8,39.10080875,37.12241336,0.559230201,87.6018727,6.768,2.184,96,12.6,77.118,18.82910389,0.72,3.866241113,1513.259208,90.19822855,134244,124890,6.96790918,7.64,6.34,0.44,0.4,0.46,15
"Micronesia, Fed. Sts.",FSM,104937,77.519,3550,,72.40405753,26.61995535,,22.31052917,6.9,3.145,70,27.5,69.195,8.667210756,,1.445435754,,,37644,31650,15.92285623,,,,,,
Moldova,MDA,3551954,54.911,2140,22.7,71.26993213,43.33028058,0.43701116,93.32157194,2.801,1.241,88,13.7,71.61,19.94321337,0.69,1.386829142,928.3347725,88.68802224,220620,221808,-0.538482459,1.03,0.45,0.42,0.08,0.08,7.1
Monaco,MCO,38499,0,,,,,,86.48796073,,,99,2.8,,,,,,,10,10,0,,,,,,
Mongolia,MNG,3027398,27.177,3590,25.6,45.4237568,50.21566503,0.863734809,111.236547,7.599,2.757,98,15.4,69.287,29.68500129,0.67,7.127326348,1838.239459,94.12797189,63740,47940,24.78820207,,,,,,
Montenegro,MNE,622303,35.777,7120,,62.92330157,40.46093611,1.411279207,165.5619099,3.046,1.667,47,3.5,77.116,20.35568996,1.02,3.55607179,1538.2641,64.66971526,3.5,3.5,0,8.91,2.42,6.49,,,23.1
Morocco,MAR,35276786,39.315,2870,,45.3306158,35.09027978,3.211415198,117.6805988,6.969,2.491,99,23.3,75.821,25.41198462,0.86,1.744379974,553.1039584,88.46886281,126.4,126.4,0,,,,,,
Mozambique,MOZ,28829476,67.492,480,,74.13913579,36.67764224,1.031204935,52.11887306,6.864,5.243,91,53.1,58.311,20.98722687,0.6,0.309666607,427.5983631,12.60187161,3758,2280,39.32943055,,,,,,
Myanmar,MMR,52885223,65.35,1190,,21.97256581,17.09243221,3.806909581,95.65321489,6.13,2.207,91,40.1,66.612,48.81135881,0.51,0.416600362,371.8689107,39.32898817,414.2,385.6,6.904876871,,,,,,
Namibia,NAM,2479713,52.375,4720,,63.96617726,41.13809334,3.681349828,107.2685024,6.263,3.415,85,32.3,64.388,25.89244374,0.74,1.583728667,761.6149696,66.71909083,636.9,642.4,-0.863557858,,,,,,
Nauru,NRU,13049,0,10750,,101.7353067,48.81804565,,87.24773068,,,98,28.5,,,,4.021851008,,,3210,4044,-25.98130841,,,,,,
Nepal,NPL,28982771,81.005,730,,39.38328165,9.492543968,1.538154816,110.8255142,5.963,2.118,83,28.4,70.253,78.49713349,0.68,0.283538526,412.724483,15.76376458,,,,,,,,,
Netherlands,NLD,17030314,8.968,46610,,71.44032301,82.448505,1.173059927,122.9740047,2.9,1.66,94,3.2,81.5097561,15.23005009,1.34,9.920138075,4325.523712,90.94545754,122084,126500.8,-3.617836899,0.58,0.29,0.28,0.01,0.01,3.9
New Caledonia,NCL,276550,29.262,,,,,,,5.385,2.08,,,76.96150074,,,16.00593173,,,6260,8270,-32.1086262,,,,,,
New Zealand,NZL,4693200,13.678,38560,,25.50512294,25.81772178,1.106452776,124.4412748,3.41,1.87,92,4.5,81.61243902,5.525446595,0.79,7.686575825,4559.892232,59.89478765,49696,56400,-13.49001932,1.07,0.11,0.84,0.05,0,30
Nicaragua,NIC,6149928,40.893,2100,,55.99313895,39.10199158,0.644813984,125.944759,6.981,2.2,99,16.8,75.404,22.70884868,0.75,0.808520856,609.0071212,40.92280087,425020,381464,10.24798833,4.68,3.72,0.34,0.16,0.46,7.7
Niger,NER,20672987,80.99,370,,33.20345805,16.16754396,2.185323903,42.18055668,7.537,7.239,74,50.9,60.058,203.7438917,0.88,0.111073516,150.7341231,24.06036815,374780,295874,21.05395165,,,,,,
Nigeria,NGA,185989640,51.403,2450,,11.50440918,9.218109698,0.432947785,82.98428235,6.342,5.526,51,66.9,53.428,122.478442,0.64,0.545622113,763.3913679,19.03605449,84700,69932,17.43565525,,,,,,
Northern Mariana Islands,MNP,55023,10.791,,,71.90016103,73.59098229,,,,,,,,11.2866786,,,,,0,0,,,,,,,
Norway,NOR,5234519,19.266,82010,,33.27319065,34.13664024,1.61682652,109.037158,2.9,1.72,96,2.1,82.5097561,7.874067599,1.63,9.270945132,5595.654625,57.97499118,44502,36360,18.29580693,1.75,0.1,1.63,0.02,0,31.3
Oman,OMN,4424762,21.912,16200,,35.5915778,41.2209076,15.83443606,155.1780638,7.277,2.666,99,9.2,77.029,77.9621781,0.49,15.44316719,6141.773197,,8390,8390,0,,,,,,
Pakistan,PAK,193203476,60.776,1500,,16.16050457,9.145726939,3.59474547,70.64521655,6.6,3.481,61,64.2,66.481,75.75074243,0.7,0.896264105,484.4452184,59.70300799,98504,101518,-3.059774222,,,,,,
Palau,PLW,21503,12.364,12550,,72.16578934,54.04133072,,,,,96,13.7,,,,12.34270409,,,42340,31140,26.45252716,,,,,,
Panama,PAN,4034119,33.105,11990,37.9,45.90366767,41.38008269,0,127.4570235,5.559,2.514,90,14.1,78.001,14.12599776,0.61,2.254311363,1079.130151,80.71266196,16982,11544,32.02214109,15.11,14.36,0.57,0.06,0.12,21.7
Papua New Guinea,PNG,8084991,86.961,2530,,,,0.397198511,46.77803599,6.244,3.658,70,42.4,65.544,13.67788256,,0.814648807,,,155952,74026,52.53283061,,,,,,
Paraguay,PRY,6725308,40.076,4060,37.3,39.5220409,41.74853296,1.251436261,111.3625428,6.276,2.48,99,17,73.12,23.69305414,0.74,0.870219291,788.6896223,33.70331205,329.5,296.6,9.984825493,7.76,5.78,1.16,0.3,0.52,17
Peru,PER,31773839,21.076,5950,32.7,22.81652992,22.43820761,1.32367625,116.2376413,6.816,2.4,88,11.9,74.983,26.0545956,0.88,1.993485949,767.6895114,79.55568357,121244,121100,0.118768764,5.53,4.22,0.07,0.93,0.31,18.8
Philippines,PHL,103320222,55.711,3580,,36.93583825,27.96658698,1.22065873,109.3687158,6.689,2.925,80,21.5,69.094,23.2134941,0.58,1.055456846,476.2447245,61.99358096,20,20,0,8.9,8.9,,,,4.7
Poland,POL,37970087,39.469,12680,,48.21253424,52.25985494,1.943520978,138.6595006,2.34,1.32,96,4,77.45121951,25.59991261,1.04,7.517151585,2473.406883,90.0879643,23626,15150,35.87573013,0.26,0.04,0.09,0.03,0.1,1.3
Portugal,PRT,10325452,35.983,19850,,39.00844371,40.12871297,1.739840848,111.5744425,3.16,1.31,98,2.9,81.12682927,9.491198111,1.3,4.331554028,2034.51263,72.66128799,387.3,403,-4.053705138,1.58,0.42,1.01,0.03,0.12,8.5
Puerto Rico,PRI,3406520,6.431,19460,,41.2436866,68.41190276,,88.66581259,3.703,1.3,,,79.78831707,20.0552887,,,,,49708,46334,6.787639817,,,,,,
Qatar,QAT,2569804,0.683,66670,,41.62544488,47.48857954,,142.1345363,6.988,1.907,99,7.3,78.184,148.2413983,0.38,45.42323996,18562.66691,100,336162,335618,0.161826738,0.15,0.15,,,,19.2
Romania,ROU,19702332,45.251,9520,22.2,42.23440194,41.33473988,1.408554536,115.78473,1.9,1.58,86,7.7,75.01219512,19.06441498,1.14,3.516153691,1591.667659,72.76394909,204414,156484,23.44751338,0.14,0.04,0.06,0.04,0,0.7
Russian Federation,RUS,144342396,25.899,9720,,20.52640096,25.69897693,5.391616177,159.154605,2.1,1.75,98,6.6,71.59292683,15.5005356,0.55,11.85752777,4942.875517,90.22465698,772114,741406,3.97713291,,,,,,
Rwanda,RWA,11917508,70.225,710,,33.10606695,14.92695459,1.272950005,74.86072592,8.198,3.885,95,29.2,67.129,52.79013012,1.13,0.074016446,,,67438,78000,-15.66179305,,,,,,
Samoa,WSM,195125,81.045,4120,,49.85097792,29.33649816,,77.39039078,7.462,3.976,68,14.8,75.013,3.857072798,0.87,1.029788341,,,89522,94138,-5.156274435,,,,,,
San Marino,SMR,33203,5.784,,,,,,110.1406499,,,62,2.5,,,,,,,33988,31934,6.043309403,,,,,,
Sao Tome and Principe,STP,199910,34.353,1730,,,,,89.06357861,6.371,4.456,93,26.2,66.624,15.42765659,,0.59433982,,,3522.4,4926.4,-39.85918692,,,,,,
