Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InfMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsPer100
Togo,TGO,7606374,59.537,600,,62.80308693,42.82242054,1.86938674,72.37908628,6.851,4.45,87,50.7,60.232,84.14439034,0.71,0.362696892,456.6742035,17.19722688,543200,464320,14.52135493,,,,,,
Tonga,TON,107122,76.199,4060,,68.11935919,21.31334458,,74.68120461,6.795,3.636,84,14.1,73.029,3.993593926,,1.143965892,,,152074,163690,-7.638386575,,,,,,
Trinidad and Tobago,TTO,1364962,91.648,16760,,,,0.963763488,158.6745272,4.2,1.752,86,16.5,70.673,16.81227296,0.3,34.16324263,14446.74945,99.93044263,9212,6972,24.31610942,,,,,,
Tunisia,TUN,11403248,32.953,3690,,51.05381095,40.38877275,2.346554116,125.2457019,6.984,2.201,96,11.7,75.731,35.56567907,0.62,2.587059584,943.6070362,88.3609482,6054,2078,65.67558639,,,,,,
Turkey,TUR,79512426,26.113,11230,32.1,24.85056382,21.96508274,2.067542609,94.40247616,5.933,2.053,98,10.9,75.755,37.25391764,1.23,4.491479026,1577.827978,89.57631444,90,90,0,1.95,1.03,0.81,0.11,0.01,
Turkmenistan,TKM,5662544,49.604,6820,,,,,151.4337019,6.703,2.888,99,43.4,67.835,37.7417613,0.27,12.51729534,4893.487499,,2378.6,2328.6,2.102076852,,,,,,
Turks and Caicos Islands,TCA,34900,7.498,,,,,,,,,,,,,,6.086487448,,,7206,10308,-43.04746045,,,,,,
Tuvalu,TUV,11097,39.38,5130,,,,,68.48697846,,,96,21.4,,,,1.008525853,,,41270,41270,0,,,,,,
Uganda,UGA,41487965,83.556,630,,28.64009875,18.581516,2.158044968,55.04846044,7.106,5.591,82,37.7,59.889,73.51172275,0.79,0.134656001,,,344,344,0,,,,,,
Ukraine,UKR,45004645,30.085,2310,21.2,55.51934347,49.28809466,3.67198141,135.1956556,2.02,1.466,42,7.8,71.47634146,19.20606229,0.73,5.020747064,2334.407199,75.32772842,10,10,0,0.24,0.24,,,,6.6
United Arab Emirates,ARE,9269612,14.196,40000,,75.74463412,101.0030139,,214.7349102,6.817,1.748,99,6.6,77.256,105.1237359,0.52,23.30202251,7769.234738,99.81246336,43982,22122,49.70215088,,,,,,
United Kingdom,GBR,65595565,17.165,42370,,30.32708521,28.25522803,1.816510476,119.9773474,2.78,1.8,92,3.7,80.95609756,11.52028708,1.49,6.49744049,2776.844098,82.63407463,93684,96352,-2.847871568,0.23,0.06,0.15,0,0.02,6.6
United States,USA,323405935,18.212,56800,30.6,14.68929997,11.89062242,3.222138841,122.8758723,2.721,1.8,92,5.6,78.6902439,9.196934123,0.65,16.49060839,6955.524017,82.93475023,2710,3215.4,-18.64944649,10.54,3.6,6.3,0.18,0.08,101.05
Uruguay,URY,3444006,4.54,15200,29.7,19.88268277,21.42754346,1.873463798,148.5693114,2.83,1.995,95,7.9,77.493,11.52339849,1.36,1.973150822,1378.273607,46.84197349,10265.6,18222.6,-77.51129988,11.52,4.78,4.68,2,0.06,31.8
Uzbekistan,UZB,31847900,63.521,2220,,20.69152174,18.93016365,,73.98333916,6.495,2.455,99,21.4,71.314,46.6910757,1.28,3.420722746,,,31118,32310.2,-3.831223086,,,,,,
Vanuatu,VUT,270402,73.559,2870,,,,,80.84370678,6.626,3.275,53,23.1,72.133,8.848735261,1.2,0.594993239,,,4400,4400,0,,,,,,
"Venezuela, RB",VEN,31568179,10.957,,,,,,87.43264222,6.203,2.317,88,14,74.545,26.33118091,,6.025697582,,,508760,468474,7.918468433,59.13,39,0.48,0.17,19.48,10.7
Vietnam,VNM,94569072,65.764,2060,,91.06233925,93.62393906,2.442960753,127.5260848,6.485,1.954,99,17.3,76.253,26.28590641,0.59,1.80356575,,,103086,146440,-42.05614729,,,,,,
Virgin Islands (U.S.),VIR,107510,4.541,,,,,,,5.634,2.09,,,79.26829268,18.38143205,,,,,223.4,177.1,20.72515667,,,,,,
West Bank and Gaza,PSE,4551566,24.519,3380,,56.80672144,17.73464326,,77.50821643,,4.008,,16.6,73.473,18.901415,1.41,,,,90.8,91.7,-0.991189427,,,,,,
"Yemen, Rep.",YEM,27584213,64.813,1030,,29.95104449,3.575736921,,59.57413032,7.737,3.995,70,43.2,64.953,72.55386478,0.76,0.864834535,,,5490,5490,0,,,,,,
Zambia,ZMB,16591390,58.621,1360,,38.63390684,35.32466751,1.429305223,72.42933835,7.304,4.981,93,43.8,61.874,30.55029496,1.16,0.288271141,,,521336,488016,6.391271656,,,,,,
Zimbabwe,ZWE,16150362,67.723,890,,38.66856626,24.65789329,2.154427516,79.74388438,7.391,3.76,95,40,61.163,24.51303497,1.18,0.779955845,,,208560,143744,31.07786728,0.39,0.3,0.09,,,4.6
